order,title,file
1,Front Matter,01-front-matter.md
2,Favorite,02-favorite.md
3,Archived,03-archived.md
4,Opening,04-opening.md
5,On Awareness,05-on-awareness.md
6,"""Awareness. Awareness. Awareness.""",06-awareness-awareness-awareness.md
7,On Attention,07-on-attention.md
8,On Suffering,08-on-suffering.md
9,On Joy,09-on-joy.md
10,On Perspective,10-on-perspective.md
11,On Truth,11-on-truth.md
12,On Opinions,12-on-opinions.md
13,On Simplicity,13-on-simplicity.md
14,On Action,14-on-action.md
15,On Ownership,15-on-ownership.md
16,On Identity,16-on-identity.md
17,On Tradeoffs,17-on-tradeoffs.md
18,On Commitment,18-on-commitment.md
19,On Time,19-on-time.md
20,On Creating,20-on-creating.md
21,On Inversion,21-on-inversion.md
22,On Winning,22-on-winning.md
23,The Question,23-the-question.md
